Method,Bay,Buoy #,Day #,Replicate #,Sample Hour,Sample Period,Copper (µg/L),Date,Time
ICP,SAB,B2,D5,1,H11,Exposure,112.7430737,7/26/2019,16:43
ICP,SAB,B3,D5,1,H11,Exposure,99.32233053,7/26/2019,16:46
ICP,SAB,B4,D5,1,H11,Exposure,91.61960166,7/26/2019,16:49
ICP,SAB,B5,D5,1,H11,Exposure,96.17553133,7/26/2019,16:53
ICP,SAB,B1,D5,1,H12,Exposure,82.68540286,7/26/2019,17:20
ICP,SAB,B2,D5,1,H12,Exposure,84.3755728,7/26/2019,17:25
ICP,SAB,B3,D5,1,H12,Exposure,93.74920053,7/26/2019,17:29
ICP,SAB,B4,D5,1,H12,Exposure,94.68720947,7/26/2019,17:33
ICP,SAB,B5,D5,1,H12,Exposure,102.1600499,7/26/2019,17:38
ICP,ROB,B1,D6,1,.,Exposure,3.35,7/27/2019,7:28
ICP,ROB,B2,D6,1,.,Exposure,1,7/27/2019,7:33
ICP,ROB,B3,D6,1,.,Exposure,1,7/27/2019,7:37
ICP,ROB,B4,D6,1,.,Exposure,1,7/27/2019,7:41
ICP,ROB,B5,D6,1,.,Exposure,1,7/27/2019,7:44
ICP,SAB,B1,D6,1,.,Exposure,80.1658404,7/27/2019,8:26
ICP,SAB,B2,D6,1,.,Exposure,83.54310333,7/27/2019,8:31
ICP,SAB,B3,D6,1,.,Exposure,87.81745173,7/27/2019,8:36
ICP,SAB,B4,D6,1,.,Exposure,86.23759053,7/27/2019,8:41
ICP,SAB,B5,D6,1,.,Exposure,83.5937192,7/27/2019,8:45
ICP,ROB,B1,D7,1,H0,Exposure,7.322069733,7/28/2019,3:30
ICP,ROB,B2,D7,1,H0,Exposure,3.35,7/28/2019,3:37
ICP,ROB,B3,D7,1,H0,Exposure,5.824055467,7/28/2019,3:42
ICP,ROB,B4,D7,1,H0,Exposure,3.35,7/28/2019,3:46
ICP,ROB,B5,D7,1,H0,Exposure,3.35,7/28/2019,3:49
ICP,SAB,B1,D7,1,H0,Exposure,66.57817253,7/28/2019,5:05
ICP,SAB,B2,D7,1,H0,Exposure,77.0287336,7/28/2019,5:16
ICP,SAB,B3,D7,1,H0,Exposure,82.3854,7/28/2019,5:21
